Filename	Label	seg_Start	seg_End	H1H2c_mean	H1H2c_means001	H1H2c_means002	H1H2c_means003	H1H2c_means004	H1H2c_means005	H1H2c_means006	H1H2c_means007	H1H2c_means008	H1H2c_means009	H1H2c_means010	H1H2c_means011	H1H2c_means012	H1H2c_means013	H1H2c_means014	H1H2c_means015	H1H2c_means016	H1H2c_means017	H1H2c_means018	H1H2c_means019	H1H2c_means020	H1A1c_mean	H1A1c_means001	H1A1c_means002	H1A1c_means003	H1A1c_means004	H1A1c_means005	H1A1c_means006	H1A1c_means007	H1A1c_means008	H1A1c_means009	H1A1c_means010	H1A1c_means011	H1A1c_means012	H1A1c_means013	H1A1c_means014	H1A1c_means015	H1A1c_means016	H1A1c_means017	H1A1c_means018	H1A1c_means019	H1A1c_means020	H1A3c_mean	H1A3c_means001	H1A3c_means002	H1A3c_means003	H1A3c_means004	H1A3c_means005	H1A3c_means006	H1A3c_means007	H1A3c_means008	H1A3c_means009	H1A3c_means010	H1A3c_means011	H1A3c_means012	H1A3c_means013	H1A3c_means014	H1A3c_means015	H1A3c_means016	H1A3c_means017	H1A3c_means018	H1A3c_means019	H1A3c_means020	CPP_mean	CPP_means001	CPP_means002	CPP_means003	CPP_means004	CPP_means005	CPP_means006	CPP_means007	CPP_means008	CPP_means009	CPP_means010	CPP_means011	CPP_means012	CPP_means013	CPP_means014	CPP_means015	CPP_means016	CPP_means017	CPP_means018	CPP_means019	CPP_means020	strF0_mean	strF0_means001	strF0_means002	strF0_means003	strF0_means004	strF0_means005	strF0_means006	strF0_means007	strF0_means008	strF0_means009	strF0_means010	strF0_means011	strF0_means012	strF0_means013	strF0_means014	strF0_means015	strF0_means016	strF0_means017	strF0_means018	strF0_means019	strF0_means020	sF0_mean	sF0_means001	sF0_means002	sF0_means003	sF0_means004	sF0_means005	sF0_means006	sF0_means007	sF0_means008	sF0_means009	sF0_means010	sF0_means011	sF0_means012	sF0_means013	sF0_means014	sF0_means015	sF0_means016	sF0_means017	sF0_means018	sF0_means019	sF0_means020	pF0_mean	pF0_means001	pF0_means002	pF0_means003	pF0_means004	pF0_means005	pF0_means006	pF0_means007	pF0_means008	pF0_means009	pF0_means010	pF0_means011	pF0_means012	pF0_means013	pF0_means014	pF0_means015	pF0_means016	pF0_means017	pF0_means018	pF0_means019	pF0_means020	pF1_mean	pF1_means001	pF1_means002	pF1_means003	pF1_means004	pF1_means005	pF1_means006	pF1_means007	pF1_means008	pF1_means009	pF1_means010	pF1_means011	pF1_means012	pF1_means013	pF1_means014	pF1_means015	pF1_means016	pF1_means017	pF1_means018	pF1_means019	pF1_means020	pF2_mean	pF2_means001	pF2_means002	pF2_means003	pF2_means004	pF2_means005	pF2_means006	pF2_means007	pF2_means008	pF2_means009	pF2_means010	pF2_means011	pF2_means012	pF2_means013	pF2_means014	pF2_means015	pF2_means016	pF2_means017	pF2_means018	pF2_means019	pF2_means020	pF3_mean	pF3_means001	pF3_means002	pF3_means003	pF3_means004	pF3_means005	pF3_means006	pF3_means007	pF3_means008	pF3_means009	pF3_means010	pF3_means011	pF3_means012	pF3_means013	pF3_means014	pF3_means015	pF3_means016	pF3_means017	pF3_means018	pF3_means019	pF3_means020	
taq_900_125_50_10_1.00_10.mat	"v"	62.000	262.000	2.953	2.953	2.953	4.806	4.670	4.430	3.969	3.543	3.170	2.776	2.474	2.198	2.031	1.935	1.826	1.744	1.710	2.021	3.275	5.046	5.046	26.963	26.963	26.963	25.467	26.103	26.663	27.493	28.239	27.329	25.993	26.686	28.987	29.724	28.264	26.938	26.165	25.746	25.655	26.012	26.396	26.396	20.344	20.344	20.344	21.031	21.670	22.541	23.228	22.860	21.859	21.580	22.240	22.571	21.370	19.217	17.332	16.694	16.965	17.238	17.803	19.014	19.014	28.687	28.687	28.687	26.870	28.638	29.314	29.588	29.675	29.723	29.855	29.570	27.026	24.310	26.076	29.643	30.935	31.033	31.018	27.787	23.614	23.614	132.533	125.084	125.635	127.525	128.451	129.453	130.458	131.474	132.466	133.457	134.564	136.809	139.516	140.906	141.810	142.702	143.593	142.929	126.128	119.393	119.416	117.929	126.131	127.086	127.761	128.586	129.553	130.531	131.564	132.607	133.650	135.216	137.519	139.661	141.035	141.994	142.898	143.661	130.765	0.000	38.692	38.664	132.723	125.569	125.719	126.891	127.552	128.280	129.219	130.240	131.232	132.268	133.319	134.614	136.760	139.106	140.674	141.722	142.617	143.464	143.848	143.815	70.954	820.956	751.456	749.065	764.599	778.746	795.941	812.429	828.061	840.727	846.514	843.685	832.309	823.088	825.033	828.545	832.448	835.797	839.085	848.200	875.255	869.596	1469.660	1698.474	1497.432	1429.035	1447.755	1467.726	1473.205	1463.586	1436.403	1413.877	1419.904	1441.910	1464.995	1468.994	1466.808	1465.021	1463.442	1463.117	1472.115	1479.286	1445.340	2652.431	2734.045	2639.496	2628.072	2653.297	2655.273	2626.102	2627.956	2637.939	2630.163	2605.423	2601.049	2631.358	2657.087	2672.593	2684.650	2693.946	2697.019	2678.268	2638.810	2648.709	
taq_900_125_60_10_1.00_10.mat	"v"	62.000	262.000	4.066	4.066	4.066	8.396	8.084	7.471	6.513	5.610	4.771	3.894	3.165	2.579	2.204	1.984	1.831	1.744	1.710	2.021	3.275	5.046	5.046	27.043	27.043	27.043	29.191	28.125	26.844	26.019	26.081	26.915	27.520	27.050	27.807	29.025	28.203	26.930	26.175	25.752	25.655	26.010	26.396	26.396	20.960	20.960	20.960	23.928	25.174	25.561	24.671	23.797	23.289	23.023	22.467	21.007	19.458	18.385	17.218	16.683	16.958	17.244	17.816	19.022	19.022	27.934	27.934	27.934	25.325	27.649	27.990	28.361	28.440	28.195	28.282	28.049	25.814	24.029	26.308	29.654	30.897	30.980	30.897	27.721	23.610	23.610	132.466	125.049	125.539	127.305	128.243	129.239	130.279	131.345	132.370	133.404	134.522	136.764	139.515	140.902	141.812	142.701	143.592	142.931	126.127	119.391	119.414	117.776	125.864	126.592	127.302	128.154	129.202	130.247	131.305	132.306	133.393	135.156	137.605	139.682	141.033	141.993	142.899	143.662	130.764	0.000	38.692	38.664	132.585	126.082	125.696	126.399	127.072	127.827	128.852	129.970	130.962	131.950	133.031	134.482	136.850	139.147	140.673	141.721	142.617	143.464	143.848	143.814	70.954	813.287	773.253	749.889	755.700	750.384	753.847	765.148	788.713	818.457	844.284	853.102	835.971	822.644	824.946	828.633	832.435	835.807	839.006	848.206	875.299	869.693	1470.058	1701.061	1483.231	1459.440	1484.534	1469.616	1423.021	1423.736	1450.745	1446.705	1418.203	1436.470	1464.596	1468.964	1467.017	1464.920	1463.419	1462.933	1472.101	1479.350	1445.841	2651.321	2717.059	2652.906	2626.610	2638.664	2643.242	2609.281	2624.462	2624.670	2638.381	2635.227	2602.699	2631.541	2657.315	2673.537	2684.713	2693.954	2696.570	2678.259	2639.378	2650.459	
taq_900_125_70_10_1.00_10.mat	"v"	62.000	262.000	4.810	4.810	4.810	11.458	11.251	10.345	9.025	7.743	6.418	5.074	3.918	2.961	2.357	2.026	1.831	1.742	1.712	2.021	3.275	5.046	5.046	28.197	28.197	28.197	34.220	34.144	32.946	30.705	28.124	26.834	27.286	27.800	28.200	28.729	28.136	26.947	26.187	25.760	25.658	26.010	26.392	26.392	21.192	21.192	21.192	24.266	24.929	25.887	25.440	24.772	24.391	24.179	24.004	22.026	19.371	18.039	17.105	16.631	16.909	17.205	17.799	19.022	19.022	25.889	25.889	25.889	20.149	21.488	22.468	22.956	23.480	24.223	25.020	24.859	24.091	24.257	26.581	29.504	30.904	31.118	30.985	27.712	23.600	23.600	132.372	124.116	125.504	127.355	128.229	129.052	130.081	131.199	132.162	133.211	134.620	136.703	139.490	140.910	141.814	142.699	143.596	142.930	126.128	119.392	119.416	117.518	124.499	125.800	126.547	127.645	128.678	129.779	131.059	132.113	133.149	134.957	137.699	139.742	141.037	141.995	142.901	143.661	130.765	0.000	38.692	38.665	132.560	132.560	123.986	125.636	126.287	127.241	128.371	129.443	130.630	131.736	132.839	134.248	136.899	139.237	140.680	141.721	142.619	143.464	143.848	143.814	70.955	816.295	802.594	758.079	763.141	784.799	793.576	768.401	769.667	791.117	823.856	855.908	839.337	820.579	823.791	829.006	832.656	835.755	839.020	848.177	875.331	869.956	1478.122	1745.763	1567.824	1478.778	1474.618	1442.403	1478.654	1462.800	1421.524	1435.299	1419.444	1434.402	1463.289	1469.161	1467.392	1465.139	1463.398	1462.907	1471.974	1479.362	1446.046	2656.282	2716.715	2630.512	2649.395	2635.404	2671.677	2667.725	2664.876	2638.068	2619.985	2624.330	2594.962	2628.688	2657.787	2674.410	2686.231	2694.010	2696.435	2677.755	2639.164	2651.189	
taq_900_133_30_10_1.00_10.mat	"v"	62.000	262.000	0.956	0.956	0.956	-0.699	-0.558	-0.336	-0.044	0.248	0.569	0.898	1.223	1.490	1.693	1.838	1.854	1.801	1.775	1.839	1.491	1.491	1.491	22.606	22.606	22.606	15.851	15.919	16.127	16.804	18.010	19.626	21.594	23.882	26.245	27.852	27.893	26.979	26.246	25.832	25.896	26.094	26.094	26.094	17.717	17.717	17.717	15.340	14.351	14.923	17.058	19.370	20.602	19.347	17.973	19.208	20.171	19.097	17.368	16.491	16.767	17.293	17.718	17.718	17.718	30.491	30.491	30.491	28.724	30.859	32.345	32.938	33.111	32.590	32.366	32.538	30.281	26.461	26.484	29.599	31.213	31.620	30.500	25.847	25.847	25.847	136.368	132.404	133.249	133.464	133.586	133.824	134.068	134.306	134.544	134.782	135.192	136.903	139.535	140.901	141.815	142.697	143.599	142.599	135.119	132.591	132.572	114.175	133.220	133.596	133.758	133.923	134.108	134.298	134.515	134.752	135.037	135.749	137.442	139.611	141.057	142.003	142.896	143.711	52.440	0.000	0.000	43.745	136.849	131.939	133.040	133.518	133.719	133.868	134.040	134.248	134.450	134.678	134.939	135.453	136.822	138.993	140.687	141.718	142.623	143.482	144.200	144.200	144.200	817.441	783.125	792.654	793.513	795.199	794.673	791.715	789.417	791.461	798.254	809.828	822.365	822.985	824.933	828.710	832.313	836.035	838.785	857.206	872.198	872.537	1475.011	1705.200	1495.613	1423.475	1435.935	1456.922	1465.412	1470.283	1472.346	1468.846	1461.334	1458.365	1466.765	1469.036	1466.667	1464.926	1463.666	1463.348	1457.141	1448.479	1471.325	2648.527	2718.274	2645.292	2639.148	2643.622	2625.104	2577.997	2572.059	2650.298	2680.343	2649.223	2614.622	2632.439	2658.307	2672.819	2685.553	2694.375	2694.955	2640.519	2625.425	2647.239	
taq_900_133_40_10_1.00_10.mat	"v"	62.000	262.000	1.825	1.825	1.825	1.898	1.884	1.866	1.862	1.851	1.841	1.819	1.823	1.841	1.854	1.887	1.861	1.802	1.776	1.840	1.491	1.491	1.491	26.993	26.993	26.993	26.209	26.100	25.984	26.155	26.615	27.201	27.822	28.478	29.064	29.035	28.113	26.964	26.238	25.830	25.900	26.102	26.102	26.102	18.462	18.462	18.462	19.090	18.870	18.818	18.708	18.567	18.502	18.465	18.753	20.139	20.593	19.149	17.417	16.506	16.772	17.291	17.717	17.717	17.717	31.098	31.098	31.098	29.242	32.313	34.203	34.354	34.141	34.622	35.055	33.701	29.659	25.539	26.059	29.532	31.153	31.469	30.415	25.895	25.895	25.895	136.327	133.129	133.051	133.236	133.395	133.641	133.892	134.143	134.392	134.643	135.075	136.856	139.532	140.901	141.815	142.697	143.599	142.598	135.117	132.586	132.567	114.003	132.796	133.118	133.316	133.509	133.733	133.983	134.232	134.468	134.771	135.583	137.439	139.629	141.057	142.003	142.896	143.711	52.438	0.000	0.000	43.745	136.621	131.967	132.629	133.040	133.251	133.444	133.668	133.901	134.146	134.393	134.651	135.239	136.774	139.019	140.689	141.719	142.623	143.482	144.197	144.197	144.197	810.089	746.093	752.646	755.818	765.565	772.615	780.453	788.714	798.568	809.550	820.387	825.980	823.073	824.868	828.811	832.390	835.993	838.762	857.212	872.094	872.305	1462.140	1656.125	1475.763	1423.524	1429.943	1431.892	1434.143	1435.925	1438.317	1440.571	1442.713	1450.841	1465.819	1468.919	1466.777	1464.986	1463.632	1463.363	1457.075	1448.447	1471.266	2633.339	2672.106	2606.813	2603.904	2608.075	2606.002	2605.129	2603.494	2602.980	2602.258	2600.971	2603.883	2631.863	2658.003	2672.768	2685.477	2694.464	2695.106	2640.123	2624.580	2646.370	
taq_900_133_50_10_1.00_10.mat	"v"	62.000	262.000	2.779	2.779	2.779	4.875	4.668	4.333	3.941	3.547	3.171	2.794	2.464	2.195	2.011	1.937	1.865	1.799	1.775	1.839	1.491	1.491	1.491	26.768	26.768	26.768	23.037	23.198	23.555	24.484	26.047	27.922	29.598	30.529	30.509	29.599	28.192	26.951	26.233	25.833	25.901	26.101	26.101	26.101	19.946	19.946	19.946	22.314	23.045	23.276	22.234	20.194	18.979	19.724	21.376	22.348	21.167	19.072	17.389	16.488	16.771	17.293	17.713	17.713	17.713	30.322	30.322	30.322	29.012	30.817	31.841	32.698	33.331	33.553	33.223	32.161	28.864	25.061	25.864	29.357	31.055	31.603	30.512	25.890	25.890	25.890	136.298	133.307	132.870	133.161	133.311	133.567	133.826	134.082	134.330	134.566	134.984	136.813	139.532	140.901	141.815	142.698	143.599	142.599	135.118	132.587	132.568	113.906	132.502	132.929	133.140	133.316	133.495	133.753	134.010	134.254	134.578	135.505	137.512	139.653	141.056	142.003	142.896	143.710	52.439	0.000	0.000	43.745	136.530	131.992	132.324	132.833	133.055	133.239	133.432	133.653	133.915	134.176	134.416	135.105	136.830	139.065	140.690	141.718	142.623	143.481	144.198	144.198	144.198	821.629	750.128	771.582	780.839	787.180	794.421	804.833	818.391	831.938	838.831	839.002	831.215	823.248	824.856	828.788	832.363	836.004	838.744	857.208	872.043	872.347	1463.322	1673.622	1492.732	1443.590	1450.566	1453.535	1447.090	1429.319	1411.779	1412.401	1424.283	1444.021	1465.080	1468.882	1466.855	1465.020	1463.581	1463.370	1457.144	1448.438	1471.313	2646.509	2706.267	2640.738	2636.653	2621.947	2616.993	2631.350	2643.611	2645.639	2628.909	2601.202	2602.292	2632.376	2658.192	2672.830	2685.328	2694.240	2695.051	2640.661	2624.619	2646.568	
taq_900_133_60_10_1.00_10.mat	"v"	62.000	262.000	3.904	3.904	3.904	8.537	8.093	7.304	6.402	5.527	4.684	3.864	3.142	2.558	2.166	1.984	1.872	1.800	1.776	1.840	1.491	1.491	1.491	26.204	26.204	26.204	26.449	25.491	24.381	23.676	23.766	24.797	26.545	27.505	28.405	29.104	28.152	26.937	26.232	25.832	25.898	26.099	26.099	26.099	20.435	20.435	20.435	23.268	23.587	23.229	22.814	22.470	21.928	22.167	22.023	21.086	20.046	18.915	17.471	16.478	16.760	17.295	17.725	17.725	17.725	29.194	29.194	29.194	27.007	28.490	29.937	31.177	31.246	30.668	30.542	30.214	27.650	24.878	26.085	29.435	31.190	31.707	30.576	25.935	25.935	25.935	136.245	133.557	132.824	132.850	133.097	133.350	133.641	133.941	134.234	134.518	134.947	136.773	139.522	140.904	141.817	142.695	143.599	142.599	135.119	132.589	132.570	113.737	131.984	132.389	132.731	132.974	133.179	133.406	133.633	133.904	134.345	135.445	137.595	139.675	141.057	142.004	142.896	143.710	52.439	0.000	0.000	43.744	136.293	131.155	131.804	132.307	132.593	132.885	133.123	133.290	133.540	133.833	134.135	134.966	136.903	139.109	140.693	141.719	142.624	143.481	144.198	144.198	144.198	815.361	735.719	751.595	765.394	775.306	778.387	781.246	792.073	814.770	839.953	851.854	836.443	823.466	824.602	828.809	832.333	835.936	838.714	857.203	872.231	872.370	1467.865	1701.498	1499.126	1454.352	1454.662	1444.706	1437.687	1446.014	1453.283	1432.617	1411.360	1435.919	1464.122	1468.875	1466.721	1464.998	1463.697	1463.352	1457.183	1448.775	1471.449	2646.147	2685.614	2640.116	2631.504	2624.697	2617.869	2631.829	2630.636	2626.010	2641.803	2632.153	2607.327	2632.588	2657.953	2673.027	2685.577	2694.436	2694.754	2640.214	2625.971	2648.001	
taq_900_133_70_10_1.00_10.mat	"v"	62.000	262.000	4.763	4.763	4.763	11.477	11.286	10.350	9.005	7.644	6.313	5.035	3.871	2.940	2.338	2.038	1.878	1.798	1.775	1.840	1.491	1.491	1.491	27.344	27.344	27.344	30.514	30.616	30.010	28.721	26.773	25.498	25.867	26.779	27.760	28.438	27.917	26.884	26.214	25.821	25.895	26.097	26.097	26.097	20.482	20.482	20.482	23.258	23.633	22.962	22.434	22.403	21.906	22.478	22.974	21.930	20.529	19.236	17.559	16.535	16.788	17.298	17.727	17.727	17.727	26.212	26.212	26.212	18.416	20.896	24.200	25.782	25.235	24.653	25.714	26.460	24.794	23.422	25.674	29.394	31.081	31.501	30.490	25.879	25.879	25.879	136.183	133.362	132.613	132.892	133.151	133.253	133.337	133.722	134.069	134.481	134.842	136.790	139.525	140.916	141.807	142.702	143.599	142.600	135.116	132.586	132.567	113.575	130.788	132.096	132.641	132.851	132.868	133.145	133.425	133.619	134.093	135.307	137.589	139.684	141.058	141.997	142.895	143.711	52.439	0.000	0.000	43.745	136.231	129.257	130.115	131.939	132.442	132.812	132.869	132.976	133.296	133.610	133.846	134.777	136.876	139.117	140.700	141.714	142.619	143.482	144.199	144.199	144.199	815.434	771.390	762.139	767.802	767.847	783.896	781.259	777.944	793.691	825.908	855.429	837.618	820.980	824.692	828.661	832.458	835.972	838.700	857.193	872.009	872.284	1472.401	1723.459	1558.999	1468.697	1433.351	1411.514	1449.941	1448.594	1436.809	1455.044	1443.647	1431.585	1465.043	1469.734	1467.119	1465.079	1463.686	1463.302	1457.223	1448.473	1471.402	2659.245	2786.873	2685.562	2623.745	2637.376	2635.124	2653.643	2650.716	2647.786	2629.333	2671.001	2608.523	2635.194	2659.996	2671.506	2685.053	2694.672	2694.872	2640.301	2624.315	2646.984	
taq_900_140_30_10_1.00_10.mat	"v"	62.000	262.000	1.284	1.284	1.284	-0.925	-0.672	-0.354	-0.088	0.253	0.539	0.862	1.213	1.482	1.666	1.795	1.874	1.863	1.833	2.154	3.784	6.088	6.088	21.971	21.971	21.971	15.786	15.528	15.543	15.779	16.661	18.064	20.108	22.738	25.460	27.485	27.754	26.895	26.231	25.858	25.386	24.620	24.025	24.025	17.965	17.965	17.965	18.979	18.435	16.651	15.178	16.281	18.755	19.726	19.035	19.454	20.197	19.160	17.464	16.668	16.709	16.804	17.412	18.841	18.841	29.916	29.916	29.916	28.690	30.831	31.955	31.925	32.014	31.979	31.994	31.868	29.823	26.763	26.942	29.849	31.263	31.318	30.686	26.372	21.298	21.298	136.039	138.926	139.518	139.114	138.453	137.945	137.430	136.924	136.409	135.898	135.572	136.979	139.519	140.906	141.808	142.701	143.595	143.043	125.085	115.918	115.988	123.987	139.423	139.189	139.007	138.730	138.287	137.766	137.172	136.560	136.042	136.187	137.535	139.611	141.039	141.993	142.904	143.555	144.139	13.144	49.463	55.636	136.109	138.472	139.428	139.268	139.076	138.818	138.446	137.928	137.349	136.763	136.189	136.030	136.964	139.017	140.688	141.725	142.620	143.426	143.871	144.606	68.053	824.048	804.337	813.104	815.248	817.380	816.516	812.831	806.539	801.637	802.119	810.297	821.929	822.676	825.033	828.510	832.373	835.968	839.546	848.597	871.235	856.223	1470.242	1620.270	1476.584	1434.809	1413.941	1423.269	1457.012	1476.285	1484.794	1482.621	1469.949	1460.361	1466.618	1468.995	1466.819	1464.996	1463.661	1463.704	1465.413	1470.334	1463.998	2645.870	2613.726	2625.236	2623.379	2625.470	2628.903	2612.857	2585.035	2623.461	2689.862	2657.501	2616.260	2631.226	2657.517	2672.767	2684.335	2694.616	2698.821	2686.267	2636.902	2653.374	
taq_900_140_40_10_1.00_10.mat	"v"	62.000	262.000	2.139	2.139	2.139	1.849	1.820	1.834	1.835	1.842	1.831	1.822	1.825	1.829	1.827	1.850	1.881	1.862	1.833	2.153	3.759	6.033	6.033	25.882	25.882	25.882	24.436	24.655	24.502	24.310	24.591	25.258	26.190	27.301	28.318	28.707	28.002	26.897	26.234	25.861	25.388	24.621	24.025	24.025	17.165	17.165	17.165	14.854	15.134	15.801	16.220	16.545	16.848	17.193	17.647	18.980	20.073	19.099	17.417	16.665	16.708	16.807	17.418	18.849	18.849	30.016	30.016	30.016	29.597	31.471	32.395	32.554	32.349	32.264	32.070	31.951	29.625	25.860	26.318	29.775	31.265	31.327	30.752	26.410	21.305	21.305	135.961	138.993	139.339	138.824	138.257	137.757	137.253	136.759	136.255	135.758	135.453	136.927	139.518	140.906	141.809	142.701	143.594	143.043	125.085	115.920	115.990	123.778	139.044	138.731	138.525	138.211	137.763	137.250	136.731	136.202	135.740	135.982	137.515	139.626	141.037	141.993	142.904	143.555	144.139	13.144	49.463	55.636	135.946	139.695	139.197	138.803	138.592	138.328	137.907	137.408	136.888	136.367	135.860	135.766	136.879	139.044	140.688	141.725	142.620	143.426	143.871	144.606	68.053	809.045	760.070	738.091	754.241	770.999	778.900	784.223	789.611	796.078	805.211	817.825	825.626	822.685	825.018	828.466	832.391	835.975	839.549	848.553	871.263	856.229	1471.379	1596.922	1470.640	1465.942	1470.659	1469.234	1466.958	1464.317	1460.564	1455.875	1451.212	1452.806	1465.887	1469.037	1466.805	1464.990	1463.655	1463.649	1465.280	1470.390	1464.013	2642.710	2691.489	2630.856	2631.370	2627.458	2619.952	2612.833	2608.052	2603.937	2601.318	2600.692	2604.089	2631.255	2657.565	2672.508	2684.515	2694.447	2698.271	2685.942	2636.974	2653.669	
taq_900_140_50_10_1.00_10.mat	"v"	62.000	262.000	3.113	3.113	4.928	4.739	4.519	4.221	3.877	3.526	3.149	2.788	2.460	2.192	1.992	1.906	1.892	1.863	1.833	2.153	3.759	6.033	6.033	25.741	25.741	22.866	22.696	22.498	22.475	22.968	24.239	26.081	27.984	29.365	29.854	29.345	28.092	26.886	26.232	25.857	25.384	24.618	24.022	24.022	19.850	19.850	23.404	22.200	21.239	20.540	20.658	21.004	21.019	21.670	21.609	21.313	21.012	19.151	17.307	16.647	16.698	16.803	17.412	18.839	18.839	29.556	29.556	24.707	28.582	31.282	31.803	32.125	32.078	31.798	32.026	31.461	28.660	25.576	26.313	29.604	31.204	31.314	30.728	26.405	21.322	21.322	135.943	139.366	139.187	138.749	138.175	137.683	137.197	136.699	136.186	135.677	135.368	136.886	139.515	140.905	141.808	142.702	143.594	143.043	125.085	115.919	115.990	123.697	138.852	138.526	138.355	138.087	137.680	137.148	136.560	135.966	135.453	135.850	137.575	139.652	141.037	141.993	142.903	143.555	144.139	13.144	49.463	55.635	135.873	139.308	139.055	138.574	138.400	138.182	137.797	137.308	136.733	136.112	135.569	135.547	136.900	139.094	140.689	141.725	142.619	143.426	143.871	144.607	68.053	825.937	802.015	790.980	800.471	807.029	808.265	810.888	817.209	824.722	831.582	835.294	830.710	822.657	825.097	828.562	832.413	835.911	839.604	848.624	871.251	856.132	1467.024	1688.664	1482.840	1476.874	1477.957	1463.700	1442.657	1412.150	1397.979	1413.452	1429.761	1445.095	1464.926	1468.962	1466.708	1465.039	1463.495	1463.670	1465.385	1470.376	1463.873	2648.627	2680.502	2650.918	2635.277	2627.879	2626.584	2638.033	2644.109	2633.241	2616.887	2599.190	2600.572	2631.397	2657.488	2672.760	2684.690	2694.055	2698.494	2686.083	2637.127	2654.187	
taq_900_140_60_10_1.00_10.mat	"v"	62.000	262.000	3.942	3.942	3.942	8.264	7.933	7.181	6.316	5.464	4.644	3.852	3.126	2.541	2.142	1.952	1.898	1.862	1.833	2.154	3.760	6.034	6.034	25.536	25.536	25.536	26.438	24.966	23.414	22.335	22.107	23.028	24.985	27.503	29.234	29.247	28.057	26.861	26.222	25.859	25.385	24.617	24.020	24.020	20.609	20.609	20.609	23.614	23.534	23.665	24.207	23.840	23.119	22.680	22.320	21.867	20.663	18.797	17.263	16.675	16.707	16.794	17.399	18.828	18.828	28.817	28.817	28.817	27.533	28.508	29.795	30.359	30.564	30.335	30.210	29.666	27.270	25.044	26.361	29.691	31.184	31.359	30.799	26.411	21.208	21.208	135.839	138.689	139.056	138.505	137.965	137.465	137.023	136.576	136.073	135.642	135.318	136.832	139.523	140.901	141.809	142.699	143.595	143.042	125.085	115.920	115.990	123.538	138.226	138.178	138.014	137.687	137.248	136.754	136.240	135.769	135.268	135.790	137.675	139.681	141.036	141.991	142.903	143.555	144.139	13.144	49.464	55.637	135.532	139.061	138.540	138.187	138.037	137.808	137.364	136.895	136.390	135.874	135.394	135.418	136.989	139.148	140.689	141.724	142.619	143.426	143.871	144.606	68.054	819.985	765.309	742.766	779.609	800.947	804.839	805.458	806.177	814.535	835.292	847.616	836.846	823.191	824.837	828.411	832.311	835.895	839.587	848.609	871.286	856.146	1464.870	1659.740	1466.493	1437.922	1412.925	1434.111	1469.604	1473.662	1460.921	1427.286	1411.539	1438.462	1464.398	1468.881	1466.794	1464.996	1463.466	1463.680	1465.357	1470.387	1463.744	2646.803	2657.216	2614.563	2633.188	2621.293	2613.945	2653.535	2633.420	2613.893	2642.260	2625.356	2604.941	2633.415	2657.008	2672.363	2684.677	2694.199	2698.638	2686.276	2637.776	2653.448	
taq_900_140_70_10_1.00_10.mat	"v"	62.000	262.000	5.187	5.187	5.187	11.483	11.070	10.229	8.993	7.603	6.272	5.018	3.882	2.943	2.314	2.012	1.914	1.868	1.835	2.153	3.759	6.033	6.033	26.934	26.934	26.934	29.963	31.148	30.474	27.862	25.257	23.995	24.412	26.215	28.146	28.899	28.053	26.835	26.203	25.860	25.393	24.620	24.021	24.021	20.296	20.296	20.296	20.824	21.303	22.730	23.903	22.618	22.359	22.727	22.389	22.083	20.797	18.818	17.444	16.809	16.740	16.802	17.409	18.841	18.841	26.023	26.023	26.023	19.994	22.417	24.608	25.055	25.088	25.604	26.164	26.262	24.855	23.850	25.931	29.351	31.086	31.343	30.704	26.344	21.180	21.180	135.797	138.801	139.059	138.472	137.986	137.186	136.870	136.430	135.898	135.439	135.269	136.849	139.502	140.944	141.803	142.701	143.593	143.043	125.084	115.919	115.990	123.407	138.265	138.004	137.609	137.074	136.831	136.432	135.966	135.461	134.956	135.687	137.840	139.747	141.045	141.989	142.905	143.556	144.139	13.144	49.465	55.638	135.522	139.521	138.580	137.969	137.740	137.222	136.839	136.553	136.126	135.566	135.106	135.210	137.138	139.246	140.703	141.722	142.620	143.427	143.872	144.607	68.055	816.986	813.951	778.135	755.124	752.792	772.106	794.538	798.631	803.429	819.242	847.363	841.081	823.972	825.986	828.358	832.576	835.952	839.567	848.602	871.247	856.185	1472.864	1720.018	1514.085	1401.251	1453.345	1471.877	1445.161	1448.105	1464.750	1450.555	1447.010	1434.842	1463.707	1469.306	1467.142	1465.086	1463.851	1463.801	1465.372	1470.350	1463.871	2653.337	2809.068	2662.345	2611.698	2622.485	2638.724	2665.282	2631.348	2620.172	2607.152	2609.498	2573.775	2623.099	2656.405	2672.058	2684.629	2694.802	2698.694	2686.362	2637.010	2653.918	
